Company,GICS Sector,Weight (%)
Trimble Inc,Information Technology,0.02
Ball Corp,Materials,0.02
Best Buy Co Inc,Consumer Discretionary,0.02
Aptiv PLC,Consumer Discretionary,0.02
APA Corp,Energy,0.02
UDR Inc,Real Estate,0.02
Host Hotels & Resorts Inc,Real Estate,0.02
Brown-Forman Corp,Consumer Staples,0.02
Nordson Corp,Industrials,0.02
Everest Group Ltd,Financials,0.02
Mid-America Apartment Communities Inc,Real Estate,0.02
Federal Realty Investment Trust,Real Estate,0.02
McCormick & Co Inc/MD,Consumer Staples,0.02
Masco Corp,Industrials,0.02
Franklin Resources Inc,Financials,0.02
Lululemon Athletica Inc,Consumer Discretionary,0.02
Gartner Inc,Information Technology,0.02
Gen Digital Inc,Information Technology,0.02
Generac Holdings Inc,Industrials,0.02
Kimco Realty Corp,Real Estate,0.02
Genuine Parts Co,Consumer Discretionary,0.02
Globe Life Inc,Financials,0.02
GoDaddy Inc,Information Technology,0.02
Jacobs Solutions Inc,Industrials,0.02
Jack Henry & Associates Inc,Financials,0.02
J M Smucker Co/The,Consumer Staples,0.02
Invesco Ltd,Financials,0.02
Hasbro Inc,Consumer Discretionary,0.02
Healthpeak Properties Inc,Real Estate,0.02
Hormel Foods Corp,Consumer Staples,0.02
IDEX Corp,Industrials,0.02
Huntington Ingalls Industries Inc,Industrials,0.02
News Corp,Communication Services,0.02
Erie Indemnity Co,Financials,0.02
Insulet Corp,Health Care,0.02
Pentair PLC,Industrials,0.02
Skyworks Solutions Inc,Information Technology,0.02
CoStar Group Inc,Real Estate,0.02
Regency Centers Corp,Real Estate,0.02
Solventum Corp,Health Care,0.02
Cooper Cos Inc/The,Health Care,0.02
Stanley Black & Decker Inc,Industrials,0.02
Pinnacle West Capital Corp,Utilities,0.02
Clorox Co/The,Consumer Staples,0.02
DaVita Inc,Health Care,0.02
Deckers Outdoor Corp,Consumer Discretionary,0.02
Camden Property Trust,Real Estate,0.02
Super Micro Computer Inc,Information Technology,0.02
Paramount Skydance Corp,Communication Services,0.02
TKO Group Holdings Inc,Communication Services,0.02
PTC Inc,Information Technology,0.02
Domino's Pizza Inc,Consumer Discretionary,0.02
A O Smith Corp,Industrials,0.01
Henry Schein Inc,Health Care,0.01
Campbell's Company/The,Consumer Staples,0.01
Bio-Techne Corp,Health Care,0.01
Charles River Laboratories International Inc,Health Care,0.01
EPAM Systems Inc,Information Technology,0.01
Revvity Inc,Health Care,0.01
Alexandria Real Estate Equities Inc,Real Estate,0.01
Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,0.01
Conagra Brands Inc,Consumer Staples,0.01
BXP Inc,Real Estate,0.01
Pool Corp,Consumer Discretionary,0.01
MGM Resorts International,Consumer Discretionary,0.01
FactSet Research Systems Inc,Financials,0.01
Molson Coors Beverage Co,Consumer Staples,0.01
Mosaic Co/The,Materials,0.01
Builders FirstSource Inc,Industrials,0.01
Baxter International Inc,Health Care,0.01
