Rank,Symbol,Security,Company,GICS Sector,Weight (%)
289,FISV,Fiserv,Fiserv Inc,Financials,0.05
290,STLD,Steel Dynamics,Steel Dynamics Inc,Materials,0.05
291,WDAY,"Workday, Inc.",Workday Inc,Information Technology,0.05
292,NRG,NRG Energy,NRG Energy Inc,Utilities,0.05
293,KMB,Kimberly-Clark,Kimberly-Clark Corp,Consumer Staples,0.05
294,AXON,Axon Enterprise,Axon Enterprise Inc,Industrials,0.05
295,A,Agilent Technologies,Agilent Technologies Inc,Health Care,0.05
296,CPRT,Copart,Copart Inc,Industrials,0.05
297,MTB,M&T Bank,M&T Bank Corp,Financials,0.05
298,DVN,Devon Energy,Devon Energy Corp,Energy,0.05
299,AEE,Ameren,Ameren Corp,Utilities,0.05
300,ATO,Atmos Energy,Atmos Energy Corp,Utilities,0.05
301,DTE,DTE Energy,DTE Energy Co,Utilities,0.05
302,CASY,Casey's,Casey's General Stores,Consumer Staples,0.05
303,VICI,Vici Properties,VICI Properties Inc,Real Estate,0.05
304,IR,Ingersoll Rand,Ingersoll Rand Inc,Industrials,0.05
305,NTRS,Northern Trust,Northern Trust Corp,Financials,0.05
306,DOV,Dover Corporation,Dover Corp,Industrials,0.05
307,RJF,Raymond James Financial,Raymond James Financial Inc,Financials,0.05
308,EXPE,Expedia Group,Expedia Group Inc,Consumer Discretionary,0.05
309,WAT,Waters Corporation,Waters Corp,Health Care,0.05
310,UAL,United Airlines Holdings,United Airlines Holdings Inc,Industrials,0.05
311,Q,Qnity Electronics,Qnity Electronics Inc,Information Technology,0.05
312,EXR,Extra Space Storage,Extra Space Storage Inc,Real Estate,0.05
313,TPL,Texas Pacific Land Corporation,Texas Pacific Land Corp,Energy,0.05
314,RMD,ResMed,ResMed Inc,Health Care,0.05
315,TDY,Teledyne Technologies,Teledyne Technologies Inc,Information Technology,0.05
316,OTIS,Otis Worldwide,Otis Worldwide Corp,Industrials,0.05
317,DOW,Dow Inc.,Dow Inc,Materials,0.04
318,TPR,"Tapestry, Inc.",Tapestry Inc,Consumer Discretionary,0.04
319,EL,Estée Lauder Companies (The),Estee Lauder Cos Inc/The,Consumer Staples,0.04
320,CNP,CenterPoint Energy,CenterPoint Energy Inc,Utilities,0.04
321,PPL,PPL Corporation,PPL Corp,Utilities,0.04
322,HUM,Humana,Humana Inc,Health Care,0.04
323,GEHC,GE HealthCare,GE HealthCare Technologies Inc,Health Care,0.04
